dataset,split,method,metric,mean,std
election,test,MLP,mse,0.11729325349177307,0.020468578101700094
election,test,Shapley,mae,1.225395186396709,0.09153035343878009
election,test,Shapley,mse,2.5398181198124394,0.36778199296056624
election,train,Banzhaf,mae,0.2858366195867367,0.025643504291520125
election,train,Banzhaf,mse,0.11521926362339699,0.019239225758082203
election,train,BetaShapley,mae,1.1995550077351391,0.09823761725960176
election,train,BetaShapley,mse,2.470512784135571,0.39135207545645867
election,train,Bipartite,mae,0.13205,0.0232576140333938
election,train,Bipartite,mse,0.029808759999999955,0.008315814617209174
election,train,Linear,mae,0.23683719942725007,0.018770125386835958
election,train,Linear,mse,0.08448723571761613,0.012998993918381196
election,train,MLP,mae,0.29349386707057556,0.027094948243886516
election,train,MLP,mse,0.11739929188063884,0.019797935098577676
election,train,Shapley,mae,1.221010873085627,0.09926706501421932
election,train,Shapley,mse,2.5611755773608573,0.404205541614839
electricity,test,Banzhaf,mae,0.2875160832690349,0.022778967674682665
electricity,test,Banzhaf,mse,0.11314660012856323,0.0152257444048414
electricity,test,BetaShapley,mae,1.2638730077095681,0.07435349513161378
electricity,test,BetaShapley,mse,2.6954834569477204,0.30473215452552976
electricity,test,Bipartite,mae,0.131454,0.02411209096130644
electricity,test,Bipartite,mse,0.028616519999999996,0.008158427361459478
electricity,test,Linear,mae,0.24093029463802001,0.014493116843532841
electricity,test,Linear,mse,0.08068341594202197,0.008627846703694738
electricity,test,MLP,mae,0.2859715284166349,0.02306471263156777
electricity,test,MLP,mse,0.10957364763430047,0.014565030429186958
electricity,test,Shapley,mae,1.2937721364500596,0.07582407707005707
electricity,test,Shapley,mse,2.824549041027918,0.31781844168186185
electricity,train,Banzhaf,mae,0.28434598324018234,0.02039650016520819
electricity,train,Banzhaf,mse,0.10797189970694365,0.013102967718550958
electricity,train,BetaShapley,mae,1.263883660277078,0.06939112363755198
electricity,train,BetaShapley,mse,2.725648075430841,0.29159975236373464
electricity,train,Bipartite,mae,0.134961,0.02306068376673758
electricity,train,Bipartite,mse,0.03045837999999999,0.007883113103977716
electricity,train,Linear,mae,0.2322773150601262,0.01349346014711477
electricity,train,Linear,mse,0.0764347182130223,0.007833068954756738
electricity,train,MLP,mae,0.29241806042241963,0.02147811359912975
electricity,train,MLP,mse,0.11009572208507497,0.013482246141038105
electricity,train,Shapley,mae,1.292137719506736,0.06983919377759838
electricity,train,Shapley,mse,2.851170878785521,0.29538809364580637
fried,test,Banzhaf,mae,0.3126035120496056,0.019389279152938185
fried,test,Banzhaf,mse,0.13197423847329287,0.014996197134550386
fried,test,BetaShapley,mae,1.2705104993655685,0.06459870852130432
